income,age,hh_size,employed,assets,loan_amount,credit_score,subsidy,urban,region,default
79921.2991124617,41,2,1,118903.70331886406,13054.149525811963,818.8529744812598,0,0,south,0
74947.85923092633,58,4,1,112225.15804058967,25417.74320150228,603.3246212239844,0,1,north,0
50605.4579394037,30,2,1,30477.268672515078,24200.255027868738,468.9368553519516,0,1,north,1
64191.163567359996,52,4,0,60548.20348872441,35533.913827333316,542.7327842135659,0,1,north,0
57609.62439139849,37,2,1,57604.35940979525,20774.269391494447,635.1248128014993,0,0,south,0
78441.59643370006,24,5,1,81068.56650719972,41810.16054425905,422.188624730633,1,1,north,1
111344.47072885418,49,4,1,108960.19502006531,23204.234657509143,706.5722682070967,1,1,east,0
99062.66832053801,37,2,1,107117.58858504676,47947.023806402445,418.39647839728866,0,1,west,1
64596.43676380039,60,2,1,41354.99358002133,42964.247269073494,393.8183731272112,0,0,east,0
105131.33521787054,45,2,1,200703.22398602808,41154.63949180176,537.9870849214283,0,1,south,1
55594.15069399872,43,3,1,99602.30398626854,43651.089411857996,467.5567654541426,0,1,west,0
56383.580668156326,69,4,1,72609.49837893806,40280.07323807077,300.0,1,1,south,1
48512.9008815945,40,2,1,54067.89867241758,35124.85484351104,401.17811788833507,0,0,east,0
99870.91609963906,43,1,1,99541.67038287396,16350.658524840288,610.3302872874032,0,1,west,0
77131.09712786923,32,4,1,51232.12171926463,17905.418966004057,649.9545043438203,1,1,north,0
46662.223071613305,30,5,0,92216.67101945497,16277.485555224299,606.7897515101912,0,1,north,0
42944.63072988076,47,1,1,32895.793794885125,28247.733963638762,555.2911206051215,0,1,east,0
56462.7789051803,27,5,1,61709.67267610663,25537.20686271524,617.1833723133818,0,0,north,1
68072.66303330053,24,3,1,102717.53870979375,36423.09395675969,503.717991682552,0,0,south,1
49953.37423460651,57,2,1,58544.51432765316,23412.753153361387,497.23194467722243,0,1,east,0
12230.714305831905,65,2,0,27681.0410326793,10203.90759859819,687.9069158009385,0,0,east,0
74844.52611838342,44,1,1,121206.07927098864,18879.997079886733,704.0171516918208,0,1,east,0
40316.41677794184,21,1,1,44090.6742947207,28439.57246000557,526.2936769002465,0,1,east,1
59265.22436514704,50,5,1,37756.28424327196,14337.98134644881,603.9501883473209,0,1,west,0
34843.193359458455,23,5,0,27108.658997193026,37285.92451866358,407.86838711164637,0,0,east,1
97854.37588030507,61,2,0,60138.98210300582,19510.412218634447,741.9287845135442,1,1,east,0
57371.69899593776,69,5,0,117721.87139792564,15945.011964958254,685.259821300393,0,0,west,0
74039.77095535604,34,3,1,121982.02078613351,46771.49129911674,420.362013255206,0,0,east,0
62029.33784904836,22,1,1,135727.74739635657,38758.62559062744,433.25208845124297,0,1,east,0
33225.335551861164,45,2,1,41866.70714653207,12719.614842948347,594.3808836458767,0,1,west,0
54187.720230106905,35,4,1,79567.9357347615,48746.00767589309,345.84776311713233,0,1,east,1
30174.54318064567,44,1,1,66479.7490557963,49964.05681630817,300.0,0,1,south,1
76012.5267080449,38,1,1,40052.39625248872,38450.13904309315,348.30141802735824,0,0,south,1
21364.620421980224,63,3,1,37831.39461219558,38399.415574822866,300.9175690873631,0,0,north,0
102757.14846300377,33,2,1,216453.7662701536,36702.75556677644,591.7044807012682,0,1,east,1
51442.17550657623,27,1,0,56782.986333430665,10059.32282796356,745.6611127100792,0,0,north,0
78855.32759957,44,4,1,48383.24924480269,19335.699807878504,648.6975061631919,0,1,south,0
42128.68459186533,67,3,1,85823.16364160819,48064.72807726363,300.0,0,1,east,0
73453.52833290257,60,5,1,128991.49350518023,25038.112181189535,608.517246905453,0,0,west,0
52806.99176486496,48,3,1,88714.15988213722,10814.742496194373,711.3126893060395,1,1,east,0
26513.49706625429,33,4,1,34060.51275429032,47513.466446327424,300.0,0,0,south,1
77610.71497847195,44,4,1,145957.3604272182,27310.30308789606,558.7023825194786,0,0,east,1
67394.22854942782,64,5,1,97123.21953071076,11631.327528557356,778.470207294143,0,0,south,0
83830.7540491711,26,5,1,105390.98655594025,8756.559131594506,718.0707697001108,1,1,north,0
109905.50920158904,38,4,1,127885.7317084002,16618.190611194455,801.257229689261,0,1,north,0
80693.97485677476,45,5,1,157223.16267780407,23370.606966777672,693.9572719846408,0,0,south,1
51918.37836798651,21,4,1,26596.739563621915,7657.205463538654,578.1349642892587,0,0,east,0
51328.65444661147,64,2,1,51981.37642595393,7503.4434719681085,692.3183884733181,0,0,north,0
49449.97393958446,61,5,1,35324.24103863684,15266.485058597651,629.1691072085664,0,0,west,0
40604.04792986266,44,5,1,35388.875769963466,11153.953529828694,605.1078434016302,1,0,north,0
47684.75718469314,30,1,0,84471.53620130508,12176.524873928309,661.1220068445142,1,0,south,1
111117.88918455652,57,3,1,58050.60594791615,49311.69854854173,444.85239294235595,0,1,east,1
56371.450739464584,33,1,0,40503.08954805268,13481.472722976343,659.8231756401693,0,1,south,0
67745.64263577606,47,3,0,73578.81884214778,20701.72012678762,593.0283044822481,0,1,south,0
54868.09385346336,26,5,1,127973.15879328849,28108.346795503574,518.371472030324,0,1,east,0
74592.08239031522,69,4,1,146936.95484851056,37149.210221427384,496.3051794610892,0,0,east,0
64035.15617040098,48,3,0,40729.549548006216,23971.062743919072,630.2399954178005,1,1,north,0
52572.54962337414,59,1,1,39395.63078330497,36201.440856254965,369.7672434159874,1,0,west,0
61382.21620090904,63,2,1,112361.98988144506,38459.84415185634,495.0765290397166,1,0,north,0
69364.01589543228,46,3,1,94537.98129420046,18727.427521976835,588.6042174938796,1,0,south,0
45424.93909417249,46,3,1,64477.71761693814,10294.407697435761,694.5684579169975,0,0,north,0
57129.980307204154,47,1,1,123504.46739246769,46425.28564928834,374.31308877223495,0,1,north,1
53886.316739068265,54,3,1,85824.21484899311,37907.27947603908,371.5332693357551,0,0,north,0
65955.25779500924,47,5,1,106454.25651179037,39865.050444263994,521.0552006212478,1,0,west,0
34911.21099490813,28,3,0,21493.87209896224,48709.6474253972,300.0,0,0,east,1
25972.89725086742,39,4,1,28048.746534031183,23658.143767234087,527.3365030036973,0,1,north,0
55116.03795767177,52,3,0,65285.49984310625,46157.14816153957,362.69460770647413,0,0,west,1
85400.49753648769,69,1,1,134224.62387326214,33128.773167554595,612.9967449143701,0,1,west,0
52243.486167198265,68,3,1,114603.17054906163,47277.607556515766,317.52743176770355,0,0,east,1
28046.716638649053,33,5,1,45843.33563215952,42133.97771297039,323.13749443292477,1,1,west,0
53679.64930376521,48,3,1,41661.65513584443,12839.990296553206,587.7070380411935,0,0,west,0
71492.42857842337,41,1,1,38191.902823286335,44021.454221837594,364.4093071175561,0,0,north,0
55729.838811144116,66,3,0,122175.15018185643,30769.329213713183,403.62698613318247,1,1,south,1
46823.1611108443,29,5,1,106975.58027354896,40008.102162243915,374.30493121529634,0,0,east,0
41488.156753683535,40,1,1,82930.5051918016,12492.993841265496,639.2144226591934,0,1,east,0
67582.15657086612,43,1,1,87389.16534433549,36737.42796782375,409.6578328133801,0,0,south,0
76758.70454387044,40,5,1,73516.41062664005,18256.073169933465,694.7248066710538,0,1,south,0
65541.35169212383,25,1,1,54234.07851113185,10635.707255487385,702.0374351433306,0,1,east,0
56117.11413954066,47,1,1,56762.78290036029,17236.28768458115,608.1919414695703,0,1,south,0
83124.84001720713,67,5,1,80679.6772194011,32846.634193244434,564.4299912060734,0,0,north,0
69491.21301417741,63,4,1,170820.97029071697,23286.472035660532,709.5346203555536,0,1,north,0
76516.88147524378,25,1,1,154340.82101029262,41502.92744300481,520.8776249702076,0,1,west,1
52971.86533273001,45,2,1,82174.38781114195,15987.801349655692,701.4529782817832,1,1,south,0
59270.96070059106,28,3,1,70415.93966234059,26654.686708992052,469.9765381820183,0,0,west,0
56243.90029614484,32,4,1,115591.37011452812,29431.148399803697,522.9908044726833,0,0,north,1
44354.529547080034,68,2,0,83303.10549771559,46514.19781570381,351.22094469611784,1,1,east,0
80312.44045347601,36,5,1,139333.44016388583,46684.8193871595,491.5077347691054,1,0,south,1
67004.34356589675,38,4,1,52399.240408481885,32654.070860796754,451.34539548560736,0,1,east,0
31205.285846412982,49,1,1,47326.48667992086,23755.38378023814,496.4196113018433,0,0,north,0
67310.73793274483,46,2,1,167032.1195578034,28973.459402771274,535.7930791557529,0,0,west,1
40613.151604093015,56,5,1,35575.01526672502,22799.65468628136,556.821927246636,0,1,west,0
69470.68130348522,59,5,1,121863.7139577654,33378.103231248155,484.3148719654764,0,1,east,1
78999.77062854309,34,2,0,167667.0378968437,47665.049171305305,366.9398506649977,0,1,west,0
85711.83444827999,48,2,1,98408.94260361067,33965.81576855855,599.7742875746353,0,0,south,0
64680.80977146507,53,5,1,127858.19132221193,16638.149865732237,708.1254126258824,0,1,east,0
48630.92454592484,67,5,1,107486.94159666159,16180.122081079337,675.050652352494,0,1,north,0
61557.00809834031,67,2,1,60677.401604273815,16369.002075271124,683.6233931223169,0,0,south,0
63058.98889325562,48,5,1,154875.5624992339,44222.15688903345,484.3577908823806,0,0,east,0
69351.00947270045,33,3,0,151943.26397659283,37315.09388589662,477.29504330468745,0,1,west,0
43392.43707951489,57,1,1,104776.92327726445,6328.495325178275,797.5503890748666,0,1,west,0
77330.25866775887,39,5,1,111245.03865984027,22858.645446911207,611.7730986389181,0,0,west,0
79299.655718373,50,4,1,166539.40385084823,23556.759180185723,566.1868842266448,0,1,north,1
51301.88450006515,43,1,1,73940.8005373021,22286.437616321135,584.0401158916803,0,0,east,1
39067.448782791,62,4,1,55546.62951173957,17344.03542944345,573.4536524542661,0,0,east,0
20101.1174822913,69,1,0,43256.0179624148,13955.047377401106,525.1531362485429,0,0,south,0
11644.491808794453,43,5,1,22610.278313260904,33596.79989318139,378.9246357514074,0,1,west,1
33648.06651761122,32,4,1,18430.629935126854,16337.687025710928,625.9193944228437,0,1,south,1
101079.16712433548,22,2,1,145134.9467660583,25213.555609963412,748.9191283142646,0,1,west,0
59360.68420445954,68,2,0,98252.84115300713,27697.606269133983,519.0554753701889,0,0,north,0
87937.75743159188,37,3,1,66070.20362011147,13291.791431691992,644.7543043465097,0,1,east,0
5000.0,49,2,1,9852.926246332447,12283.364595246814,508.3689074049008,0,1,south,0
43911.30830551973,24,4,1,54879.44090706387,24036.960112338336,484.4477790089171,0,1,east,1
51400.67441553645,48,1,1,51425.41074901179,6062.808230240167,668.2008980972051,0,1,north,0
27024.075105615106,22,5,1,62795.67202816701,47743.77110624267,300.0,0,0,south,0
21335.479714913236,66,3,1,24530.71892713618,13436.33458554999,647.8365562826654,1,0,north,1
66147.08610109598,50,3,0,163301.9625458788,28450.011379547934,562.422889913823,0,0,north,0
63725.698757881626,30,3,0,39873.60296199022,7185.729140405843,706.467334533496,0,1,south,0
70608.98131494955,36,3,0,100902.09880970448,17439.717697122123,595.6527119756852,0,0,west,1
26605.332634182334,21,2,1,33916.41370164074,15972.15581447487,549.2412940439464,0,1,west,1
31331.435449382367,54,3,0,16576.233832053054,18683.55735181568,522.1491494158297,0,0,east,0
86465.47419309239,56,3,1,102735.02662661426,40189.070841323504,472.25001129261807,0,1,east,0
69087.15326596753,45,4,1,142500.1159407904,33556.26729953668,573.6414421069547,0,0,east,0
93470.3786044938,31,5,1,92921.91788456649,37294.535989741686,475.9450692298108,0,0,east,0
87643.46928408102,30,2,1,124645.69227911205,23813.90391105323,708.9048764442181,0,0,east,0
109443.0964066659,69,4,1,135237.46999483864,6398.469081294434,850.0,0,1,east,0
60991.745447574736,21,5,1,95036.21785620826,22012.712541288685,530.9028348466179,1,0,east,0
49749.87908719234,26,1,0,93092.54233462473,32374.741230675365,498.6876326425747,0,1,north,0
31215.785286035945,55,4,1,47723.60494148872,10838.762316944256,650.8993265004791,0,0,west,0
67407.18406592029,32,3,0,119756.53733613667,5449.473815087199,850.0,0,1,east,0
48422.2998237348,37,1,1,113606.15260496928,20021.32290482775,513.8163008177002,1,1,east,1
57679.992270620525,33,2,1,37163.424872707335,33480.06925267223,499.81565191101134,0,1,north,1
47269.63811995143,69,4,0,57659.36708717725,5509.907154954447,708.4477423248908,0,0,west,0
65603.35708961185,48,3,0,93318.47678175183,44485.314533199715,366.2228182947305,1,1,east,0
15321.894954114156,55,4,1,27466.918767038816,48906.14888537621,300.0,0,0,east,0
100650.04643574556,25,4,0,129249.18784168483,47395.255482841676,348.423530908131,0,1,south,0
57252.46858871174,28,1,1,129900.15309087583,17898.81217789289,573.340061249659,0,0,north,0
43384.75686196354,44,1,1,69626.93076900249,38722.83801410368,439.8159924192753,1,0,south,1
76541.45016106934,42,3,1,51908.02410451336,14842.085757348981,658.1403212599208,1,0,south,0
85308.62440704281,65,2,1,170417.12496557113,8402.057026606837,850.0,0,1,south,0
91320.6654565505,29,4,1,86514.94206889723,32623.88956354031,529.0682272002738,0,1,north,1
61433.71410247014,39,1,0,30725.192170198072,40429.325023238285,300.0,0,0,east,1
48913.466928346716,57,2,1,88796.11450389342,47139.376668903926,390.78133114131555,0,0,south,0
27806.098317650667,24,3,1,55162.21743843698,24109.798172210518,492.7738267270135,0,0,south,1
61922.01003110601,59,3,1,108338.95598856048,31198.938655258786,595.2135920517613,1,0,south,0
54591.36174939307,48,4,0,92612.75340672917,12941.898296222887,611.3047711538912,0,1,north,0
72402.96711377503,67,2,1,69852.16151221804,49404.04056892987,300.0,0,1,east,1
5000.0,25,5,1,9274.212946417805,40291.720929938674,300.0,1,1,north,0
35334.320105041814,40,2,1,54286.72314926487,12356.420161425835,708.2974579881593,0,1,east,0
58239.11702831877,39,5,1,106738.21596273029,39345.80008305418,362.9626771156809,0,1,south,0
54476.544855228894,32,1,1,34988.30689043241,9249.432781651343,647.7126322383216,0,1,east,0
34812.4189540572,39,3,0,24740.409502528124,9659.68451339237,609.8701590302253,0,1,east,0
67325.99642578406,69,4,1,63333.203367690556,16525.397774353933,727.860495200243,0,1,west,0
56073.93550957994,33,3,1,28187.035547540705,7134.941612388717,749.4097511136006,0,0,south,0
99257.67525289074,25,2,1,199648.50420413908,38629.74270971554,596.9882372698153,0,0,south,0
61847.67828758149,47,1,1,78601.95974686125,47738.58231134981,310.4877238362686,1,1,east,0
91032.71837612677,46,1,1,49493.24569738519,32771.89751610004,536.0140820909097,1,0,north,1
63427.612677936035,37,2,1,110494.5052430707,22480.014401751043,661.9106499719437,1,0,south,0
75641.28488386996,22,1,0,153304.18502301638,47313.83953409807,414.6976993019628,0,1,south,0
44769.42825416666,59,3,1,55518.288206891426,8636.752377405557,699.8157050285361,1,1,west,0
68546.9481736794,64,1,1,98713.12166804074,12578.668556282635,746.3032848224875,0,1,north,0
39275.60230285401,65,4,0,48266.86838217248,10851.798739917907,614.7260764086943,0,1,east,0
70393.54216121549,61,1,1,70354.54709109457,38234.13914681205,428.9110722299868,0,1,west,1
61720.656635202075,29,5,1,37466.291407240984,30755.3885180535,479.00512456549023,0,0,north,1
50832.380558943405,46,2,1,112300.79178799353,9603.115459440884,668.2327402113187,0,1,north,0
93727.25783336622,46,2,0,106087.74695556807,19293.998722214306,713.3739827448976,0,0,west,0
59742.59743904241,50,4,1,68334.43609781821,25479.85533788456,498.4773233568397,1,0,east,1
31327.72554515029,46,5,1,32673.83486126781,45286.86043096587,300.13841220348786,0,0,north,0
49031.09309656874,69,4,1,86567.69443163539,35676.18034866523,361.563354466359,0,0,west,0
71809.17882706845,50,1,1,64823.10024048361,30706.758449753077,523.7138385544648,0,0,east,0
60109.966872779005,33,5,1,85850.4858431923,24345.12090975827,596.7883005447369,0,0,north,1
40455.29660071417,63,2,1,90944.01824817178,10055.05510275577,693.8772291825227,1,0,south,1
84508.81854956236,35,5,1,127058.30550305781,23414.85843426733,633.8281162916952,0,1,west,0
40428.92979001079,53,3,1,31879.649888595824,12709.620562060933,687.2015540689839,0,0,south,0
56153.55379399494,50,3,1,106950.2297330853,46390.05050249828,377.3024075060843,0,0,south,0
46462.17429798068,36,4,1,78071.03349913881,13528.285189663982,668.865009791359,0,1,east,0
88272.80307232309,62,1,0,45611.91834875211,26452.80296493414,539.5551405207523,1,1,south,0
64812.6238166134,56,1,0,127291.12756608022,32884.12263647701,506.6345760153037,0,0,north,1
5000.0,66,3,1,5733.97218757999,22049.86845915607,548.4045784189955,0,0,west,0
67476.8541014597,64,5,1,58658.37388283143,5403.874716136381,760.4358022975968,0,1,north,0
46802.79645785093,29,1,0,61104.83598721465,18547.517878469786,562.1172285330935,0,0,west,0
44959.94421331468,37,4,1,24578.574940523,41781.84730222606,329.3173155916121,0,1,east,0
79798.87003932199,37,5,1,71062.19533564418,18558.34733271259,706.3848632717966,0,1,west,0
51837.702862138176,23,1,1,76171.09614255256,34891.73461844219,397.13477854188335,1,0,west,0
20070.499291329732,48,2,1,46967.152463257706,34332.94344204059,420.978428394234,1,0,north,0
66553.72553042695,65,5,1,147553.94749755328,22080.712031553583,632.1314507670543,1,1,north,0
76400.4016059022,67,5,1,40443.10148277299,29978.148649109593,506.15598692039157,0,0,west,0
40287.4741482525,39,3,1,69015.82549523651,45950.87040307132,344.3984647318136,0,1,north,1
95742.55488121977,24,5,1,203457.733930699,20543.4302526631,765.8081382209933,0,1,east,0
68273.67492326225,60,3,1,56319.19141605541,35745.215442264,439.14980367925915,0,1,east,0
40428.95490034741,28,5,1,72642.63667267101,45133.73439708742,300.0,0,1,north,1
24708.60112278159,52,4,1,30050.282813966525,39344.90491679135,300.0,0,1,south,0
64454.644730336135,60,5,1,80215.75844499674,17137.185057145885,655.6013160253729,0,0,south,0
52316.85618380027,26,5,1,80185.86260633003,26950.40069406514,561.0521572713845,0,1,south,0
18102.432189210995,42,2,1,35642.898186133556,22174.364892061243,562.0366846125439,0,0,west,1
79806.11292560663,65,3,1,102415.04470313202,11171.993496626967,810.7965812918213,0,1,east,0
84978.76898793018,47,1,0,51360.29268359416,25354.166437263193,577.3266843803624,0,0,east,0
58596.813733882926,34,1,1,141692.9482295529,23002.062015076404,656.2751044077271,1,1,south,0
65447.52699138311,27,4,1,110441.9348933554,30644.980094883027,626.7286852588179,0,1,east,0
26029.677366020107,35,3,1,48192.4892639395,23021.8112526202,429.1585389208501,1,0,east,1
61427.895043143944,33,5,0,36454.90463078275,25000.683080045776,580.9588398699711,0,1,west,1
54918.428246121235,58,4,1,49538.37433543268,8853.803092577911,618.9085158906356,0,0,west,0
62387.29638174013,30,4,1,153373.1333610636,41077.01599048918,445.8060696538766,1,0,north,0
50935.34456824926,56,4,1,100975.48466998145,34644.98616684353,502.7351529464785,0,1,west,0
108404.66541107488,64,4,1,233407.78684717743,37376.69045190606,595.6266812818933,0,1,north,0
78709.10069610896,26,4,1,81316.64046763984,45902.21908192321,348.8481514232959,0,1,north,0
61731.95512359953,64,2,0,142410.2517278781,10783.433679799278,747.2550804578491,0,1,west,0
31709.811293838513,47,1,1,28519.74346044959,27725.73365011771,509.9519399320866,0,1,east,0
49197.064363993086,50,3,1,66157.83117953563,34792.74414059048,464.7287147206212,1,1,west,1
61234.45616775607,53,2,1,58104.08735475889,24694.010932072106,489.47687267875943,0,0,east,0
57935.02423530673,49,5,1,125448.75391328814,16714.975310215017,695.069958135099,0,1,west,0
68806.82771927086,66,1,1,65596.33232745394,35046.580301642,490.89696648954293,0,1,east,1
112077.11356878621,35,1,1,220379.70697529806,24417.958254439396,662.4493966222809,0,1,west,0
89056.6881140287,57,1,0,137258.1530434824,16811.673062286856,773.0486667861774,1,1,east,0
61083.46473016363,38,1,1,69213.85692435167,48234.031784033104,334.74473419270254,1,1,north,0
87326.20846235524,35,3,1,105848.76874157507,44894.10868434124,329.39363239445544,0,0,east,1
69258.99194232964,21,3,0,69901.05340315722,23540.881236702593,608.2492044663451,0,1,east,0
9289.678154522888,59,3,1,7569.507548872339,36853.20283426528,362.3381397520465,1,1,east,1
70413.35969768144,39,1,1,69596.81160039447,10692.138388294657,742.0155878672246,0,0,north,0
41173.11688962417,25,5,1,64568.854193178086,5870.916487638559,694.3958317636245,1,1,west,0
44672.65589539651,31,4,1,79117.97104455359,42910.47323900563,366.53283560321785,0,1,south,0
43649.78119202103,35,2,1,52340.74105680884,22659.847431017897,579.1887971948147,0,1,east,1
79716.80862062082,62,2,1,151978.31327274858,10521.832927247522,776.117441396089,0,1,north,0
71462.50048532161,56,5,1,145274.28303328517,26235.001356374494,611.5072006645305,0,1,west,0
39473.75438654673,38,5,1,57432.67502061709,6502.63055969652,699.2891578190597,0,0,west,0
17179.413780288247,30,4,0,30093.714851254615,21031.72938692379,431.0879395362844,0,1,north,0
72600.53469875145,46,2,1,168924.53163939915,24599.54266957,583.8770931243894,0,1,east,0
44659.44772112856,54,5,1,30834.334899206082,27838.954049235454,519.9538111510532,0,0,east,0
